"","results.Technique","results.Nr_Train_Cases","results.Nr_Test_Cases","results.Train Error","results.Test Error","results.AUC_Train","results.AUC_Test","results.True Positive Rate","results.False Positive Rate","results.True Negative Rate","results.False Negative Rate"
"1","Dec Tree",1400,307996,0.127142857142857,0.167804127326329,0.619956995517329,0.533357565833169,0.11890407132382,0.0521889396574818,0.947811060342518,0.88109592867618
"2","Dec Tree",7000,307996,0.133857142857143,0.166187223210691,0.607513834977294,0.533975225606203,0.118135897018087,0.05018544580568,0.94981455419432,0.881864102981913
"3","Dec Tree",35000,307996,0.133,0.146219431421187,0.539398309598103,0.516134655486727,0.0478595870481156,0.0155902760746613,0.984409723925339,0.952140412951884
"4","Dec Tree",70000,307996,0.133942857142857,0.141979116611904,0.528577850879773,0.515867769264025,0.0413417444540143,0.00960620592596505,0.990393794074035,0.958658255545986
"5","Rand Forest",1400,307996,0.00928571428571423,0.147401264951493,0.976584423630599,0.514736028194825,0.0461602923717964,0.0166882359821459,0.983311764017854,0.953839707628204
"6","Rand Forest",7000,307996,0.0315714285714286,0.143485629683502,0.895227077512552,0.514690093041486,0.0406201261668102,0.0112399400838374,0.988760059916163,0.95937987383319
"7","Rand Forest",35000,307996,0.0621714285714285,0.140423901609112,0.776548148001674,0.512802159117554,0.0318675946833027,0.00626327644819403,0.993736723551806,0.968132405316697
"8","Rand Forest",70000,307996,0.0780428571428572,0.139719347004507,0.718554967576257,0.513309060677364,0.0321003747759492,0.00548225342122043,0.99451774657878,0.967899625224051
